"Season","Date","Court","Time","Visitor","Home","Division","Location"
"Winter 2013","2/10/2013","Court 3","5:30pm","7G For Pete Force Black 6th","7G PLV Monarchs Maroon 7th","7th Grade Gold","Lied Center"
"Winter 2013","3/3/2013","Court 3","6:30pm","7G Bellevue Thunder Gold 6th","7G PLV Monarchs Maroon 7th","7th Grade Gold","Lied Center"
"Winter 2013","1/20/2013","Court 3","6:30pm","7G For Pete Force Black 6th","7G PLV South Titans 7th","7th Grade Gold","Lied Center"
"Winter 2013","1/27/2013","Court 3","6:30pm","7G Wahoo Cavalry 7th","7G PLV South Titans 7th","7th Grade Gold","Lied Center"
"Winter 2013","2/3/2013","Court 3","6:30pm","7G Millard North Silver 7th","7G PLV South Titans 7th","7th Grade Gold","Lied Center"
"Winter 2013","3/3/2013","Court 3","5:30pm","7G PLV Monarchs Maroon 7th","7G PLV South Titans 7th","7th Grade Gold","Lied Center"
"Winter 2013","1/13/2013","Court 3","7:30pm","7G PLV Monarchs Maroon 7th","7G Wahoo Cavalry 7th","7th Grade Gold","Lied Center"
"Winter 2013","1/27/2013","Court 3","7:30pm","7G Millard North Silver 7th","7G Wahoo Cavalry 7th","7th Grade Gold","Lied Center"
"Winter 2013","2/24/2013","Court 3","10:30am","7G Abraham Lincoln Lynx Red 7th","7G Wahoo Cavalry 7th","7th Grade Gold","Lied Center"
"Winter 2013","1/13/2013","Court 1","12:30pm","7S Elkhorn Elite Arnold 7th","7S Bellevue Thunder Gold 7th","7th Grade Silver","Lied Center"
"Winter 2013","1/20/2013","Court 1","12:30pm","7S Westside Black 7th","7S Bellevue Thunder Gold 7th","7th Grade Silver","Lied Center"
"Winter 2013","2/10/2013","Court 1","12:30pm","7S St. Geralds 7th","7S Bellevue Thunder Gold 7th","7th Grade Silver","Lied Center"
"Winter 2013","2/3/2013","Court 1","12:30pm","7S Millard West Green 7th","7S Bennington Badgers 7th","7th Grade Silver","Lied Center"
"Winter 2013","2/3/2013","Court 1","1:30pm","7S Bellevue Thunder Gold 7th","7S Bennington Badgers 7th","7th Grade Silver","Lied Center"
"Winter 2013","2/24/2013","Court 1","1:30pm","7S Lincoln Ambassadors 7th","7S Bennington Badgers 7th","7th Grade Silver","Lied Center"
"Winter 2013","1/20/2013","Court 1","11:30am","7S Nebraska City Purple 7th","7S Elkhorn Elite Arnold 7th","7th Grade Silver","Lied Center"
"Winter 2013","1/27/2013","Court 1","1:30pm","7S Westside Black 7th","7S Elkhorn Elite Arnold 7th","7th Grade Silver","Lied Center"
"Winter 2013","2/3/2013","Court 1","2:30pm","7S St. Geralds 7th","7S Elkhorn Elite Arnold 7th","7th Grade Silver","Lied Center"
"Winter 2013","3/3/2013","Court 1","12:30pm","7S Bennington Badgers 7th","7S Elkhorn Elite Arnold 7th","7th Grade Silver","Lied Center"
"Winter 2013","1/13/2013","Court 1","1:30pm","7S Westside Black 7th","7S Lincoln Ambassadors 7th","7th Grade Silver","Lied Center"
